actual,predicted,residual,abs_residual,pct_error,timestamp,hour,month,day_of_week
4.87,8.550654878878,-3.6806548788779994,3.6806548788779994,75.57812892973304,2025-11-12 02:00:00,2,11,2
4.56,8.329604902417003,-3.7696049024170035,3.7696049024170035,82.66677417581148,2025-11-12 02:15:00,2,11,2
4.36,7.838589178763677,-3.4785891787636762,3.4785891787636762,79.7841554762311,2025-11-12 02:30:00,2,11,2
4.28,7.880332505572589,-3.600332505572589,3.600332505572589,84.11991835449973,2025-11-12 02:45:00,2,11,2
4.37,8.67284450764981,-4.30284450764981,4.30284450764981,98.46326104461806,2025-11-12 03:00:00,3,11,2
4.35,8.177307893589528,-3.827307893589529,3.827307893589529,87.98408950780527,2025-11-12 03:15:00,3,11,2
4.19,8.148639160926098,-3.958639160926098,3.958639160926098,94.47826159728156,2025-11-12 03:30:00,3,11,2
4.12,8.062723497116888,-3.942723497116888,3.942723497116888,95.69717226011863,2025-11-12 03:45:00,3,11,2
4.34,8.584590423877156,-4.244590423877156,4.244590423877156,97.80162266998056,2025-11-12 04:00:00,4,11,2
4.28,8.679494121671699,-4.399494121671698,4.399494121671698,102.79191873064715,2025-11-12 04:15:00,4,11,2
4.29,8.394271343112283,-4.104271343112283,4.104271343112283,95.670660678608,2025-11-12 04:30:00,4,11,2
4.33,8.420396543325932,-4.090396543325932,4.090396543325932,94.46643287126864,2025-11-12 04:45:00,4,11,2
4.39,9.07629719860908,-4.68629719860908,4.68629719860908,106.749366710913,2025-11-12 05:00:00,5,11,2
4.44,8.85734836363844,-4.41734836363844,4.41734836363844,99.48982800987476,2025-11-12 05:15:00,5,11,2
5.29,8.684935293597025,-3.394935293597025,3.394935293597025,64.17647057839368,2025-11-12 05:30:00,5,11,2
6.14,9.374340008391652,-3.2343400083916523,3.2343400083916523,52.67654736794222,2025-11-12 05:45:00,5,11,2
10.0,10.467538482543034,-0.4675384825430342,0.4675384825430342,4.675384825430342,2025-11-12 06:00:00,6,11,2
10.14,13.817414804600283,-3.677414804600282,3.677414804600282,36.26641819132428,2025-11-12 06:15:00,6,11,2
10.11,13.972567678019768,-3.8625676780197686,3.8625676780197686,38.205417191095634,2025-11-12 06:30:00,6,11,2
9.8,14.072193601819624,-4.272193601819623,4.272193601819623,43.59381226346554,2025-11-12 06:45:00,6,11,2
10.4,16.95289834382929,-6.552898343829289,6.552898343829289,63.00863792143547,2025-11-12 07:00:00,7,11,2
10.39,14.817451000192964,-4.4274510001929634,4.4274510001929634,42.61261790368589,2025-11-12 07:15:00,7,11,2
10.0,14.554657247238694,-4.554657247238694,4.554657247238694,45.54657247238694,2025-11-12 07:30:00,7,11,2
8.82,13.88879725046042,-5.06879725046042,5.06879725046042,57.4693565811839,2025-11-12 07:45:00,7,11,2
11.67,7.939390495907041,3.7306095040929588,3.7306095040929588,31.967519315278135,2025-11-12 08:00:00,8,11,2
11.67,10.30300286267305,1.3669971373269494,1.3669971373269494,11.713771528080114,2025-11-12 08:15:00,8,11,2
11.66,9.402132093085559,2.2578679069144414,2.2578679069144414,19.364218755698467,2025-11-12 08:30:00,8,11,2
10.4,8.536792701031967,1.8632072989680335,1.8632072989680335,17.915454797769552,2025-11-12 08:45:00,8,11,2
10.4,11.898549327139992,-1.4985493271399921,1.4985493271399921,14.409128145576847,2025-11-12 09:00:00,9,11,2
10.39,10.01351816312184,0.3764818368781597,0.3764818368781597,3.623501798634839,2025-11-12 09:15:00,9,11,2
9.99,9.943242355645726,0.04675764435427432,0.04675764435427432,0.468044488030774,2025-11-12 09:30:00,9,11,2
8.47,8.385191832113147,0.08480816788685352,0.08480816788685352,1.0012770706830403,2025-11-12 09:45:00,9,11,2
10.4,8.788016209841857,1.6119837901581437,1.6119837901581437,15.499844136135998,2025-11-12 10:00:00,10,11,2
10.39,10.832463653722549,-0.44246365372254814,0.44246365372254814,4.258552971343101,2025-11-12 10:15:00,10,11,2
10.0,10.083412300214079,-0.08341230021407853,0.08341230021407853,0.8341230021407853,2025-11-12 10:30:00,10,11,2
9.04,8.56996076053376,0.4700392394662387,0.4700392394662387,5.199549109139809,2025-11-12 10:45:00,10,11,2
7.8,11.367730578229327,-3.5677305782293276,3.5677305782293276,45.740135618324715,2025-11-12 11:00:00,11,11,2
7.74,8.928702675466745,-1.188702675466745,1.188702675466745,15.357915703704714,2025-11-12 11:15:00,11,11,2
7.56,8.71885668233886,-1.1588566823388602,1.1588566823388602,15.32879209442937,2025-11-12 11:30:00,11,11,2
7.46,7.925058136161219,-0.46505813616121916,0.46505813616121916,6.234023272938595,2025-11-12 11:45:00,11,11,2
7.23,7.987163367826344,-0.7571633678263439,0.7571633678263439,10.472522376574602,2025-11-12 12:00:00,12,11,2
7.31,8.633060289450139,-1.3230602894501393,1.3230602894501393,18.099319965118184,2025-11-12 12:15:00,12,11,2
7.57,8.593350378277403,-1.023350378277403,1.023350378277403,13.51849905254165,2025-11-12 12:30:00,12,11,2
7.57,8.83918841027847,-1.2691884102784705,1.2691884102784705,16.76602919786619,2025-11-12 12:45:00,12,11,2
7.28,9.137033195015242,-1.8570331950152417,1.8570331950152417,25.508697733725842,2025-11-12 13:00:00,13,11,2
7.41,9.09188062447847,-1.6818806244784703,1.6818806244784703,22.697444324945618,2025-11-12 13:15:00,13,11,2
7.2,9.420569549684018,-2.2205695496840177,2.2205695496840177,30.841243745611358,2025-11-12 13:30:00,13,11,2
7.25,8.974069618914292,-1.7240696189142923,1.7240696189142923,23.780270605714378,2025-11-12 13:45:00,13,11,2
7.33,9.220103856808947,-1.8901038568089472,1.8901038568089472,25.785864349371725,2025-11-12 14:00:00,14,11,2
7.31,9.586798349884404,-2.2767983498844044,2.2767983498844044,31.14635225560061,2025-11-12 14:15:00,14,11,2
7.3,9.195874192767086,-1.895874192767086,1.895874192767086,25.970879352973782,2025-11-12 14:30:00,14,11,2
7.33,9.349782756249958,-2.019782756249958,2.019782756249958,27.55501713847146,2025-11-12 14:45:00,14,11,2
6.34,9.861692228049268,-3.521692228049268,3.521692228049268,55.54719602601369,2025-11-12 15:00:00,15,11,2
7.01,8.775635695395525,-1.7656356953955257,1.7656356953955257,25.18738509836699,2025-11-12 15:15:00,15,11,2
7.31,9.481967275487403,-2.171967275487403,2.171967275487403,29.71227463047063,2025-11-12 15:30:00,15,11,2
7.55,9.659646361127617,-2.1096463611276173,2.1096463611276173,27.942335908975064,2025-11-12 15:45:00,15,11,2
6.72,9.312942443050403,-2.5929424430504033,2.5929424430504033,38.58545302158338,2025-11-12 16:00:00,16,11,2
6.9,9.827093682749002,-2.9270936827490015,2.9270936827490015,42.42164757607249,2025-11-12 16:15:00,16,11,2
6.89,9.938929401328757,-3.048929401328757,3.048929401328757,44.2515152587628,2025-11-12 16:30:00,16,11,2
6.73,9.90989443843371,-3.17989443843371,3.17989443843371,47.24954589054546,2025-11-12 16:45:00,16,11,2
6.13,9.03136204763561,-2.901362047635611,2.901362047635611,47.3305391131421,2025-11-12 17:00:00,17,11,2
5.69,9.322354562813736,-3.6323545628137355,3.6323545628137355,63.83751428495141,2025-11-12 17:15:00,17,11,2
5.68,8.938153945692576,-3.2581539456925768,3.2581539456925768,57.36186524106649,2025-11-12 17:30:00,17,11,2
5.68,8.95795938994847,-3.277959389948471,3.277959389948471,57.71055263993787,2025-11-12 17:45:00,17,11,2
6.25,8.960752332031078,-2.7107523320310776,2.7107523320310776,43.37203731249724,2025-11-12 18:00:00,18,11,2
5.94,9.576277037993776,-3.636277037993776,3.636277037993776,61.21678515141037,2025-11-12 18:15:00,18,11,2
5.0,9.522056282507968,-4.522056282507968,4.522056282507968,90.44112565015936,2025-11-12 18:30:00,18,11,2
4.82,8.783725511130356,-3.963725511130356,3.963725511130356,82.2349691105883,2025-11-12 18:45:00,18,11,2
5.75,4.961526774515761,0.788473225484239,0.788473225484239,13.712577834508505,2025-11-12 19:00:00,19,11,2
4.99,5.180945153386276,-0.19094515338627538,0.19094515338627538,3.826556180085679,2025-11-12 19:15:00,19,11,2
4.6,3.6692050827870375,0.9307949172129621,0.9307949172129621,20.234672113325267,2025-11-12 19:30:00,19,11,2
3.75,3.9727580416936803,-0.2227580416936803,0.2227580416936803,5.940214445164807,2025-11-12 19:45:00,19,11,2
4.0,3.9567005695803985,0.04329943041960149,0.04329943041960149,1.0824857604900373,2025-11-12 20:00:00,20,11,2
2.79,2.916194813382731,-0.12619481338273086,0.12619481338273086,4.523111590778884,2025-11-12 20:15:00,20,11,2
2.36,1.983563219096503,0.37643678090349697,0.37643678090349697,15.950711055232924,2025-11-12 20:30:00,20,11,2
1.97,1.295893299095944,0.674106700904056,0.674106700904056,34.21861425908914,2025-11-12 20:45:00,20,11,2
2.35,1.671532357194316,0.6784676428056842,0.6784676428056842,28.870963523646132,2025-11-12 21:00:00,21,11,2
2.17,0.7345319712800844,1.4354680287199155,1.4354680287199155,66.15060040183943,2025-11-12 21:15:00,21,11,2
1.86,1.0301084615711886,0.8298915384288115,0.8298915384288115,44.61782464671029,2025-11-12 21:30:00,21,11,2
1.45,0.7298624461791334,0.7201375538208665,0.7201375538208665,49.66465888419769,2025-11-12 21:45:00,21,11,2
1.52,1.0067678809729728,0.5132321190270273,0.5132321190270273,33.765270988620216,2025-11-12 22:00:00,22,11,2
1.23,0.6653833572071406,0.5646166427928594,0.5646166427928594,45.90379209698044,2025-11-12 22:15:00,22,11,2
0.22,0.2540002452744261,-0.034000245274426105,0.034000245274426105,15.454656942920957,2025-11-12 22:30:00,22,11,2
0.0,-0.7202400905464756,0.7202400905464756,0.7202400905464756,,2025-11-12 22:45:00,22,11,2
0.0,-0.25616778431210463,0.25616778431210463,0.25616778431210463,,2025-11-12 23:00:00,23,11,2
-0.01,-0.7632340838820326,0.7532340838820326,0.7532340838820326,7532.340838820326,2025-11-12 23:30:00,23,11,2
-0.01,-0.8901364975663526,0.8801364975663526,0.8801364975663526,8801.364975663526,2025-11-12 23:45:00,23,11,2
0.0,1.087590678431262,-1.087590678431262,1.087590678431262,,2025-11-13 00:00:00,0,11,3
0.0,1.2085233788722007,-1.2085233788722007,1.2085233788722007,,2025-11-13 00:15:00,0,11,3
0.02,1.1408787066891009,-1.1208787066891008,1.1208787066891008,5604.3935334455045,2025-11-13 01:00:00,1,11,3
0.49,1.441258693146878,-0.951258693146878,0.951258693146878,194.13442717283226,2025-11-13 01:15:00,1,11,3
0.44,1.180579074679379,-0.740579074679379,0.740579074679379,168.31342606349523,2025-11-13 01:30:00,1,11,3
0.35,2.1097729586312113,-1.7597729586312112,1.7597729586312112,502.79227389463176,2025-11-13 01:45:00,1,11,3
0.36,1.720999143917382,-1.360999143917382,1.360999143917382,378.05531775482837,2025-11-13 02:00:00,2,11,3
0.37,2.4617088258815514,-2.0917088258815513,2.0917088258815513,565.3267096977165,2025-11-13 02:15:00,2,11,3
0.3,2.072114424347241,-1.7721144243472409,1.7721144243472409,590.704808115747,2025-11-13 02:30:00,2,11,3
0.21,1.9851648919537368,-1.7751648919537368,1.7751648919537368,845.3166152160652,2025-11-13 02:45:00,2,11,3
0.21,2.4276901729196183,-2.2176901729196183,2.2176901729196183,1056.0429394855325,2025-11-13 03:00:00,3,11,3
0.17,2.406980056364219,-2.236980056364219,2.236980056364219,1315.870621390717,2025-11-13 03:15:00,3,11,3
0.18,2.318593354946792,-2.1385933549467917,2.1385933549467917,1188.1074194148844,2025-11-13 03:30:00,3,11,3
0.16,2.2687001432785365,-2.1087001432785364,2.1087001432785364,1317.9375895490853,2025-11-13 03:45:00,3,11,3
0.13,2.7728084480677566,-2.6428084480677567,2.6428084480677567,2032.9295754367358,2025-11-13 04:00:00,4,11,3
0.83,2.7184434194564346,-1.8884434194564346,1.8884434194564346,227.52330354896802,2025-11-13 04:15:00,4,11,3
1.29,2.7464783086729625,-1.4564783086729625,1.4564783086729625,112.90529524596609,2025-11-13 04:30:00,4,11,3
1.5,3.6039345559751226,-2.1039345559751226,2.1039345559751226,140.26230373167482,2025-11-13 04:45:00,4,11,3
1.28,4.183936264265931,-2.9039362642659308,2.9039362642659308,226.87002064577584,2025-11-13 05:00:00,5,11,3
1.8,4.677294966602979,-2.877294966602979,2.877294966602979,159.84972036683217,2025-11-13 05:15:00,5,11,3
1.57,5.0502562437967455,-3.4802562437967453,3.4802562437967453,221.6723722163532,2025-11-13 05:30:00,5,11,3
1.75,4.677478106282699,-2.927478106282699,2.927478106282699,167.28446321615422,2025-11-13 05:45:00,5,11,3
3.0,4.820946748533288,-1.820946748533288,1.820946748533288,60.6982249511096,2025-11-13 06:00:00,6,11,3
3.76,6.546008940823036,-2.786008940823036,2.786008940823036,74.09598246869777,2025-11-13 06:15:00,6,11,3
4.27,6.480020368076232,-2.2100203680762327,2.2100203680762327,51.75691728515768,2025-11-13 06:30:00,6,11,3
4.85,7.163469514712638,-2.3134695147126383,2.3134695147126383,47.70040236520904,2025-11-13 06:45:00,6,11,3
9.67,8.915538865731396,0.7544611342686043,0.7544611342686043,7.802079982095184,2025-11-13 07:00:00,7,11,3
12.45,13.001410667579577,-0.551410667579578,0.551410667579578,4.429001346020707,2025-11-13 07:15:00,7,11,3
12.93,14.683622935309863,-1.7536229353098634,1.7536229353098634,13.562435694585176,2025-11-13 07:30:00,7,11,3
13.3,14.802578543695237,-1.5025785436952361,1.5025785436952361,11.297583035302527,2025-11-13 07:45:00,7,11,3
13.43,13.492299041647467,-0.062299041647467135,0.062299041647467135,0.46387968464234647,2025-11-13 08:00:00,8,11,3
13.47,12.568804513675268,0.9011954863247329,0.9011954863247329,6.6903896534872525,2025-11-13 08:15:00,8,11,3
13.24,10.971206956520813,2.268793043479187,2.268793043479187,17.135899119933438,2025-11-13 08:30:00,8,11,3
13.07,10.752440521535217,2.3175594784647835,2.3175594784647835,17.731901135920303,2025-11-13 08:45:00,8,11,3
13.62,11.479447421612644,2.1405525783873554,2.1405525783873554,15.716245068923316,2025-11-13 09:00:00,9,11,3
13.62,12.005771947716603,1.614228052283396,1.614228052283396,11.85189465699997,2025-11-13 09:15:00,9,11,3
12.95,11.72401979900469,1.2259802009953091,1.2259802009953091,9.467028579114357,2025-11-13 09:30:00,9,11,3
20.11,11.163583632211957,8.946416367788043,8.946416367788043,44.48740113271031,2025-11-13 09:45:00,9,11,3
26.55,19.44849239031856,7.101507609681441,7.101507609681441,26.747674612736123,2025-11-13 10:00:00,10,11,3
24.35,23.74760183091955,0.6023981690804519,0.6023981690804519,2.4739144520757774,2025-11-13 10:15:00,10,11,3
22.93,19.884137345206714,3.045862654793286,3.045862654793286,13.283308568658029,2025-11-13 10:30:00,10,11,3
20.15,26.225513204290834,-6.075513204290836,6.075513204290836,30.151430294247326,2025-11-13 10:45:00,10,11,3
24.34,25.360062206718638,-1.020062206718638,1.020062206718638,4.190888277397856,2025-11-13 11:00:00,11,11,3
18.37,22.953056623661347,-4.583056623661346,4.583056623661346,24.948593487541345,2025-11-13 11:15:00,11,11,3
19.72,16.90641071448487,2.8135892855151283,2.8135892855151283,14.267694145614243,2025-11-13 11:30:00,11,11,3
23.09,17.763169889892758,5.326830110107242,5.326830110107242,23.0698575578486,2025-11-13 11:45:00,11,11,3
20.73,27.226733861867288,-6.496733861867288,6.496733861867288,31.339767785177457,2025-11-13 12:00:00,12,11,3
22.84,15.66731949221375,7.17268050778625,7.17268050778625,31.404030244248034,2025-11-13 12:15:00,12,11,3
24.79,23.78330940138105,1.006690598618949,1.006690598618949,4.060873733840052,2025-11-13 12:30:00,12,11,3
25.21,27.367009687107142,-2.1570096871071414,2.1570096871071414,8.55616694608148,2025-11-13 12:45:00,12,11,3
24.87,23.15545513622423,1.714544863775771,1.714544863775771,6.89402840279763,2025-11-13 13:00:00,13,11,3
14.11,26.49617629660536,-12.38617629660536,12.38617629660536,87.78296454008051,2025-11-13 13:15:00,13,11,3
14.24,16.775113412331322,-2.535113412331322,2.535113412331322,17.802762727045803,2025-11-13 13:30:00,13,11,3
14.6,17.89393600291534,-3.2939360029153395,3.2939360029153395,22.561205499420133,2025-11-13 13:45:00,13,11,3
14.09,18.019048452363705,-3.9290484523637055,3.9290484523637055,27.885368717982296,2025-11-13 14:00:00,14,11,3
